date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-04-17,36081,Queens,330395,,,,,210.0,,,,,,,,,,30.0,,,,,
2020-04-17,36087,Rockland,330158,,,,,252.0,,,,,,,,,,36.0,,,,,
2020-04-17,36087,Rockland,330405,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36089,St. Lawrence,330197,,,,,60.0,,,,,,,,,,10.0,,,,,
2020-04-17,36089,St. Lawrence,330211,,,,,10.0,,,,,,,,,,10.0,,,,,
2020-04-17,36089,St. Lawrence,330223,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36089,St. Lawrence,331315,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36095,Schoharie,331320,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36097,Schuyler,331313,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36101,Steuben,330144,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36101,Steuben,330277,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-17,36103,Suffolk,330045,,,,,571.0,,,,,,,,,,81.6,,,,,
2020-04-17,36103,Suffolk,330246,,,,,350.0,,,,,,,,,,50.0,,,,,
2020-04-17,36103,Suffolk,330286,,,,,882.0,,,,,,,,,,126.0,,,,,
2020-04-17,36103,Suffolk,330393,,,,,1923.0,,,,,,,,,,274.7,,,,,
2020-04-17,36103,Suffolk,330401,,,,,343.0,,,,,,,,,,49.0,,,,,
2020-04-17,36109,Tompkins,330307,,,,,64.0,,,,,,,,,,16.0,,,,,
2020-04-17,36111,Ulster,330004,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-17,36119,Westchester,330006,,,,,54.0,,,,,,,,,,7.7,,,,,
2020-04-17,36119,Westchester,330086,,,,,77.0,,,,,,,,,,11.0,,,,,
2020-04-17,36119,Westchester,330162,,,,,203.0,,,,,,,,,,29.0,,,,,
2020-04-17,36119,Westchester,330184,,,,,189.0,,,,,,,,,,27.0,,,,,
2020-04-17,36119,Westchester,330208,,,,,364.0,,,,,,,,,,52.0,,,,,
2020-04-17,36119,Westchester,330234,,,,,105.0,,,,,,,,,,15.0,,,,,
2020-04-17,36119,Westchester,330261,,,,,273.0,,,,,,,,,,39.0,,,,,
2020-04-17,36119,Westchester,330267,,,,,252.0,,,,,,,,,,36.0,,,,,
2020-04-17,36119,Westchester,330304,,,,,574.0,,,,,,,,,,82.0,,,,,
2020-04-17,36119,Westchester,333301,,,,,0.0,,,,,,,,,,0.0,,,,,
