date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-14,36043,Herkimer,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36045,Jefferson,0.0,18.71,25.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36047,Kings,0.0,3326.14,2048.86,141.43,42.43,356.0,239.71,274.0,190.0,23.14,10.43
2020-08-14,36049,Lewis,0.0,35.71,9.57,0.0,0.0,4.29,0.86,4.29,0.86,0.0,0.0
2020-08-14,36051,Livingston,0.0,36.0,27.86,0.0,0.0,8.0,6.14,8.0,5.0,0.0,0.0
2020-08-14,36053,Madison,0.0,39.43,36.29,0.86,0.0,10.0,2.29,6.0,2.29,0.0,0.0
2020-08-14,36055,Monroe,0.0,1377.0,1709.43,21.57,15.14,397.14,177.29,204.0,115.86,5.29,5.29
2020-08-14,36057,Montgomery,0.0,100.29,53.0,0.71,0.71,10.29,4.0,9.43,4.0,0.0,0.0
2020-08-14,36059,Nassau,0.0,2699.57,2053.14,73.57,41.43,426.14,252.0,408.14,206.86,15.86,5.29
2020-08-14,36063,Niagara,0.0,270.71,156.0,1.57,1.29,27.86,14.71,27.86,14.57,0.0,0.0
2020-08-14,36065,Oneida,0.0,0.0,44.43,16.43,7.43,10.0,4.29,0.0,0.0,3.43,1.57
2020-08-14,36067,Onondaga,0.0,1057.0,923.71,10.71,7.14,197.0,141.43,162.0,124.71,4.86,3.86
2020-08-14,36069,Ontario,0.0,218.0,150.29,1.86,0.71,33.71,13.71,26.0,12.0,0.0,0.0
2020-08-14,36071,Orange,0.0,284.29,343.43,12.57,5.14,117.14,31.71,67.86,14.57,2.71,2.0
2020-08-14,36073,Orleans,0.0,0.0,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36075,Oswego,0.0,105.43,49.0,0.0,0.0,14.57,5.71,14.57,5.71,0.0,0.0
2020-08-14,36077,Otsego,0.0,27.57,105.86,2.86,0.86,17.14,10.14,0.0,10.14,0.0,0.0
2020-08-14,36079,Putnam,0.0,97.71,44.86,0.0,0.0,8.57,2.0,8.57,0.0,0.0,0.0
2020-08-14,36081,Queens,0.0,2938.29,2583.29,302.29,78.0,655.29,297.29,467.0,199.86,42.86,13.57
2020-08-14,36083,Rensselaer,0.0,174.0,143.43,12.71,12.0,24.0,13.57,24.0,13.57,2.57,2.29
2020-08-14,36085,Richmond,0.0,627.0,656.71,22.29,10.71,124.0,62.86,87.0,40.43,4.29,3.71
2020-08-14,36087,Rockland,0.0,0.0,33.0,3.0,0.0,2.86,2.86,0.0,0.0,0.71,0.0
2020-08-14,36091,Saratoga,0.0,0.0,44.0,0.86,0.57,8.86,6.14,0.0,6.14,0.0,0.0
2020-08-14,36093,Schenectady,0.0,315.0,201.86,11.86,5.0,44.0,27.14,44.0,27.14,1.71,0.0
2020-08-14,36095,Schoharie,0.0,31.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36097,Schuyler,0.0,22.29,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36101,Steuben,0.0,19.0,57.86,0.0,0.0,8.29,4.0,0.0,3.71,0.0,0.0
2020-08-14,36103,Suffolk,0.0,2205.86,1996.86,124.86,53.29,397.43,255.57,333.43,219.71,17.71,11.43
2020-08-14,36105,Sullivan,0.0,62.14,52.14,0.86,0.0,13.57,4.71,13.57,4.71,0.0,0.0
2020-08-14,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36109,Tompkins,0.0,150.0,92.0,2.43,0.0,16.0,7.14,16.0,7.14,1.0,0.0
2020-08-14,36111,Ulster,0.0,153.0,106.0,4.0,0.57,13.0,4.14,13.0,4.14,0.57,0.0
2020-08-14,36113,Warren,0.0,206.0,146.43,1.86,0.57,22.0,7.0,22.0,7.0,0.0,0.0
2020-08-14,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36117,Wayne,0.0,0.0,49.29,0.0,0.0,12.0,6.14,0.0,0.0,0.0,0.0
2020-08-14,36119,Westchester,0.0,1020.71,653.86,96.29,24.0,175.86,50.71,149.57,47.14,8.43,1.0
2020-08-14,36121,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36123,Yates,0.0,18.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36061,New York,0.0,6985.86,7490.43,378.29,100.57,1517.0,1058.86,887.14,628.71,34.14,15.29
2020-08-14,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36089,St. Lawrence,0.0,44.14,110.71,2.71,2.43,15.29,6.43,3.14,3.14,0.0,0.0
2020-08-14,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36001,Albany,0.0,470.0,342.0,6.0,4.71,43.0,25.57,28.0,16.29,1.29,0.86
