date,fips,county,boundary,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-08-14,36085,Richmond,1.0,627.0,401.9,22.3,9.3,124.0,62.9,87.0,40.4,2.0,2.0
2020-08-14,36087,Rockland,1.0,0.0,0.0,2.0,2.0,10.0,10.0,0.0,0.0,1.0,0.0
2020-08-14,36091,Saratoga,1.0,0.0,154.0,1.0,1.0,31.0,21.5,0.0,21.5,0.0,0.0
2020-08-14,36093,Schenectady,1.0,315.0,201.9,11.9,5.0,44.0,27.1,44.0,27.1,1.0,1.0
2020-08-14,36095,Schoharie,1.0,31.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36097,Schuyler,1.0,26.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36099,Seneca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36101,Steuben,1.0,19.0,53.7,0.0,0.0,8.3,4.0,0.0,1.0,0.0,0.0
2020-08-14,36103,Suffolk,1.0,2205.9,1864.1,123.0,50.5,397.4,255.6,333.4,219.7,17.2,11.2
2020-08-14,36105,Sullivan,1.0,87.0,73.0,1.0,0.0,19.0,6.6,19.0,6.6,1.0,0.0
2020-08-14,36107,Tioga,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36109,Tompkins,1.0,150.0,88.7,1.0,0.0,16.0,7.1,16.0,7.1,1.0,0.0
2020-08-14,36111,Ulster,1.0,153.0,106.0,2.0,2.0,13.0,4.1,13.0,4.1,1.0,0.0
2020-08-14,36113,Warren,1.0,206.0,146.4,1.0,1.0,22.0,7.0,22.0,7.0,0.0,0.0
2020-08-14,36115,Washington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36117,Wayne,1.0,0.0,0.0,0.0,0.0,14.0,7.2,0.0,0.0,0.0,0.0
2020-08-14,36119,Westchester,1.0,1046.4,718.9,111.2,24.1,210.3,58.8,154.3,55.3,10.0,3.0
2020-08-14,36121,Wyoming,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36123,Yates,1.0,18.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36061,New York,1.0,6985.8,5573.0,374.6,97.4,1516.8,1058.4,887.0,628.3,33.3,14.0
2020-08-14,99999,New York City,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36089,St. Lawrence,1.0,76.7,76.7,1.0,1.0,16.6,5.6,4.4,4.4,0.0,0.0
2020-08-14,90036,Unassigned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36001,Albany,1.0,470.0,342.0,6.0,4.7,43.0,25.6,28.0,16.3,1.0,1.0
2020-08-21,36003,Allegany,1.0,73.0,30.8,1.0,0.0,10.0,1.0,10.0,1.0,1.0,0.0
2020-08-21,36005,Bronx,1.0,3598.0,2103.7,80.8,64.8,500.1,332.8,384.1,212.2,8.0,8.0
2020-08-21,36007,Broome,1.0,685.0,243.9,18.0,18.0,78.0,46.9,78.0,46.1,11.2,11.2
2020-08-21,36009,Cattaraugus,1.0,133.0,133.0,1.0,1.0,8.5,8.5,7.5,8.5,1.0,1.0
