date,fips,county,daily_cases,daily_hospitalized,daily_deaths,daily_cases_avg,daily_hospitalized_avg,daily_deaths_avg
2020-12-12,36005,Bronx,389,44,5,469,45,4
2020-12-13,36005,Bronx,311,39,4,478,46,4
2020-12-14,36005,Bronx,612,49,4,486,46,4
2020-12-15,36005,Bronx,636,38,2,507,46,4
2020-12-16,36005,Bronx,441,38,8,494,44,5
2020-12-17,36005,Bronx,263,46,7,450,44,5
2020-12-18,36005,Bronx,620,56,7,467,44,5
2020-12-19,36005,Bronx,402,52,5,469,45,5
2020-12-20,36005,Bronx,291,41,4,466,46,5
2020-12-21,36005,Bronx,713,62,5,481,48,5
2020-12-22,36005,Bronx,729,50,8,494,49,6
2020-12-23,36005,Bronx,634,48,7,522,51,6
2020-12-24,36005,Bronx,499,53,5,555,52,6
2020-12-25,36005,Bronx,155,43,6,489,50,6
2020-12-26,36005,Bronx,533,43,8,508,49,6
2020-12-27,36005,Bronx,479,43,4,535,49,6
2020-12-28,36005,Bronx,1009,65,8,577,49,7
2020-12-29,36005,Bronx,989,58,9,614,50,7
2020-12-30,36005,Bronx,965,70,4,661,54,6
2020-12-31,36005,Bronx,662,59,4,685,54,6
2021-01-01,36005,Bronx,200,65,9,691,58,7
2021-01-02,36005,Bronx,716,52,13,717,59,7
2021-01-03,36005,Bronx,502,49,8,720,60,8
2021-01-04,36005,Bronx,1240,60,9,753,59,8
2021-01-05,36005,Bronx,1150,69,12,776,61,8
2021-01-06,36005,Bronx,1100,68,13,796,60,10
2021-01-07,36005,Bronx,965,64,4,839,61,10
2021-01-08,36005,Bronx,970,64,10,949,61,10
2021-01-09,36005,Bronx,677,64,16,943,63,10
2021-01-10,36005,Bronx,455,52,9,937,63,10
2021-01-11,36005,Bronx,1103,82,7,917,66,10
2021-01-12,36005,Bronx,970,87,9,891,69,10
2021-01-13,36005,Bronx,1009,90,4,878,72,8
2021-01-14,36005,Bronx,961,71,6,878,73,9
2021-01-15,36005,Bronx,897,72,13,867,74,9
2021-01-16,36005,Bronx,601,69,12,857,75,9
2021-01-17,36005,Bronx,485,69,8,861,77,8
2021-01-18,36005,Bronx,739,99,17,809,80,10
2021-01-19,36005,Bronx,1068,74,12,823,78,10
2021-01-20,36005,Bronx,1008,80,7,823,76,11
2021-01-21,36005,Bronx,939,83,9,820,78,11
2021-01-22,36005,Bronx,1006,93,10,835,81,11
2021-01-23,36005,Bronx,651,72,12,842,81,11
2021-01-24,36005,Bronx,473,77,9,841,83,11
2021-01-25,36005,Bronx,1117,97,9,895,82,10
2021-01-26,36005,Bronx,957,74,9,879,82,9
2021-01-27,36005,Bronx,920,87,11,866,83,10
2021-01-28,36005,Bronx,924,93,20,864,85,11
2021-01-29,36005,Bronx,704,84,18,821,83,13
2021-01-30,36005,Bronx,529,62,15,803,82,13
2021-01-31,36005,Bronx,534,61,7,812,80,13
2021-02-01,36005,Bronx,162,92,11,676,79,13
2021-02-02,36005,Bronx,398,106,10,596,84,13
2021-02-03,36005,Bronx,951,110,13,600,87,13
2021-02-04,36005,Bronx,927,102,16,601,88,13
2021-02-05,36005,Bronx,664,75,10,595,87,12
2020-02-29,36047,Kings,0,0,0,0,0,0
2020-03-01,36047,Kings,0,1,0,0,0,0
2020-03-02,36047,Kings,0,0,0,0,0,0
2020-03-03,36047,Kings,1,0,0,0,0,0
2020-03-04,36047,Kings,1,1,0,0,0,0
2020-03-05,36047,Kings,3,2,0,0,0,0
2020-03-06,36047,Kings,1,1,0,1,1,0
2020-03-07,36047,Kings,2,2,0,1,1,0
2020-03-08,36047,Kings,5,7,0,2,2,0
2020-03-09,36047,Kings,16,11,0,4,3,0
2020-03-10,36047,Kings,11,10,0,6,5,0
2020-03-11,36047,Kings,31,10,0,10,6,0
2020-03-12,36047,Kings,96,28,0,23,10,0
2020-03-13,36047,Kings,166,36,0,47,15,0
2020-03-14,36047,Kings,163,38,1,70,20,0
2020-03-15,36047,Kings,433,46,0,131,26,0
2020-03-16,36047,Kings,740,92,1,234,37,0
2020-03-17,36047,Kings,783,96,4,345,49,1
2020-03-18,36047,Kings,966,119,6,478,65,2
2020-03-19,36047,Kings,1204,151,6,636,83,3
2020-03-20,36047,Kings,1137,201,11,775,106,4
2020-03-21,36047,Kings,554,184,12,831,127,6
2020-03-22,36047,Kings,755,193,10,877,148,7
2020-03-23,36047,Kings,910,298,27,901,177,11
2020-03-24,36047,Kings,1212,343,23,963,213,14
2020-03-25,36047,Kings,1254,409,37,1004,254,18
2020-03-26,36047,Kings,1375,484,50,1028,302,24
2020-03-27,36047,Kings,1423,454,75,1069,338,33
2020-03-28,36047,Kings,864,399,78,1113,369,43
2020-03-29,36047,Kings,1149,449,89,1170,405,54
2020-03-30,36047,Kings,1754,558,106,1290,442,65
2020-03-31,36047,Kings,1513,529,126,1333,469,80
2020-04-01,36047,Kings,1589,506,135,1381,483,94
2020-04-02,36047,Kings,1613,437,171,1415,476,111
2020-04-03,36047,Kings,1441,440,142,1418,474,121
2020-04-04,36047,Kings,922,361,163,1426,469,133
2020-04-05,36047,Kings,1141,386,166,1425,460,144
2020-04-06,36047,Kings,1463,500,169,1383,451,153
2020-04-07,36047,Kings,1395,506,181,1366,448,161
2020-04-08,36047,Kings,1310,450,172,1326,440,166
2020-04-09,36047,Kings,1369,432,188,1292,439,169
2020-04-10,36047,Kings,1152,357,178,1250,427,174
2020-04-11,36047,Kings,1129,318,159,1280,421,173
2020-04-12,36047,Kings,701,269,201,1217,405,178
2020-04-13,36047,Kings,1065,356,158,1160,384,177
2020-04-14,36047,Kings,1035,291,151,1109,353,172
2020-04-15,36047,Kings,882,293,132,1048,331,167
2020-04-16,36047,Kings,884,249,126,978,305,158
2020-04-17,36047,Kings,959,257,118,951,290,149
2020-04-18,36047,Kings,575,181,116,872,271,143
2020-04-19,36047,Kings,635,144,118,862,253,131
2020-04-20,36047,Kings,983,203,95,850,231,122
2020-04-21,36047,Kings,896,170,92,831,214,114
2020-04-22,36047,Kings,854,155,107,827,194,110
2020-04-23,36047,Kings,786,150,106,813,180,107
2020-04-24,36047,Kings,629,140,93,765,163,104
2020-04-25,36047,Kings,404,99,76,741,152,98
2020-04-26,36047,Kings,332,82,61,698,143,90
2020-04-27,36047,Kings,608,105,88,644,129,89
2020-04-28,36047,Kings,711,103,57,618,119,84
2020-04-29,36047,Kings,681,96,71,593,111,79
2020-04-30,36047,Kings,600,76,65,566,100,73
2020-05-01,36047,Kings,497,74,56,548,91,68
2020-05-02,36047,Kings,263,53,45,527,84,63
2020-05-03,36047,Kings,247,56,45,515,80,61
2020-05-04,36047,Kings,462,74,42,494,76,54
2020-05-05,36047,Kings,433,63,49,455,70,53
2020-05-06,36047,Kings,450,69,38,422,66,49
2020-05-07,36047,Kings,403,62,46,394,64,46
2020-05-08,36047,Kings,344,65,43,372,63,44
2020-05-09,36047,Kings,119,41,28,351,61,42
2020-05-10,36047,Kings,188,36,26,343,59,39
2020-05-11,36047,Kings,410,60,33,335,57,38
2020-05-12,36047,Kings,400,40,33,331,53,35
2020-05-13,36047,Kings,362,51,23,318,51,33
2020-05-14,36047,Kings,334,39,14,308,47,29
2020-05-15,36047,Kings,259,46,27,296,45,26
2020-05-16,36047,Kings,165,29,24,303,43,26
2020-05-17,36047,Kings,137,15,19,295,40,25
2020-05-18,36047,Kings,266,29,17,275,36,22
2020-05-19,36047,Kings,328,41,16,264,36,20
2020-05-20,36047,Kings,323,31,21,259,33,20
2020-05-21,36047,Kings,336,39,15,259,33,20
2020-05-22,36047,Kings,350,42,15,272,32,18
2020-05-23,36047,Kings,143,22,20,269,31,18
2020-05-24,36047,Kings,161,21,12,272,32,17
2020-05-25,36047,Kings,160,24,14,257,31,16
2020-05-26,36047,Kings,319,21,12,256,29,16
2020-05-27,36047,Kings,246,24,11,245,28,14
2020-05-28,36047,Kings,221,30,12,229,26,14
2020-05-29,36047,Kings,167,19,16,202,23,14
2020-05-30,36047,Kings,105,19,10,197,23,12
2020-05-31,36047,Kings,84,18,11,186,22,12
2020-06-01,36047,Kings,252,33,10,199,23,12
2020-06-02,36047,Kings,184,26,6,180,24,11
2020-06-03,36047,Kings,133,26,13,164,24,11
2020-06-04,36047,Kings,130,27,10,151,24,11
2020-06-05,36047,Kings,132,17,6,146,24,9
2020-06-06,36047,Kings,59,10,10,139,22,9
2020-06-07,36047,Kings,52,18,6,135,22,9
2020-06-08,36047,Kings,112,19,13,115,20,9
2020-06-09,36047,Kings,121,22,6,106,20,9
2020-06-10,36047,Kings,97,17,11,100,19,9
2020-06-11,36047,Kings,113,15,4,98,17,8
2020-06-12,36047,Kings,123,21,6,97,17,8
2020-06-13,36047,Kings,52,11,4,96,18,7
2020-06-14,36047,Kings,53,12,6,96,17,7
2020-06-15,36047,Kings,102,22,4,94,17,6
2020-06-16,36047,Kings,133,24,5,96,17,6
2020-06-17,36047,Kings,114,14,6,99,17,5
2020-06-18,36047,Kings,112,16,4,98,17,5
2020-06-19,36047,Kings,91,23,3,94,17,5
2020-06-20,36047,Kings,46,9,3,93,17,4
2020-06-21,36047,Kings,54,18,6,93,18,4
2020-06-22,36047,Kings,110,20,5,94,18,5
2020-06-23,36047,Kings,95,16,5,89,17,5
2020-06-24,36047,Kings,101,18,6,87,17,5
2020-06-25,36047,Kings,82,11,4,83,16,5
2020-06-26,36047,Kings,94,17,3,83,16,5
2020-06-27,36047,Kings,70,19,7,87,17,5
2020-06-28,36047,Kings,58,11,1,87,16,4
2020-06-29,36047,Kings,127,24,3,90,17,4
2020-06-30,36047,Kings,128,17,2,94,17,4
2020-07-01,36047,Kings,120,13,3,97,16,3
2020-07-02,36047,Kings,127,14,3,103,16,3
2020-07-03,36047,Kings,72,13,3,100,16,3
2020-07-04,36047,Kings,23,9,3,94,14,3
2020-07-05,36047,Kings,53,3,3,93,13,3
2020-07-06,36047,Kings,142,23,2,95,13,3
2020-07-07,36047,Kings,123,7,2,94,12,3
2020-07-08,36047,Kings,121,12,3,94,12,3
2020-07-09,36047,Kings,104,12,4,91,11,3
2020-07-10,36047,Kings,90,16,2,94,12,3
2020-07-11,36047,Kings,73,14,2,101,12,3
2020-07-12,36047,Kings,55,10,2,101,13,2
2020-07-13,36047,Kings,123,14,1,98,12,2
2020-07-14,36047,Kings,111,9,4,97,12,3
2020-07-15,36047,Kings,150,19,2,101,13,2
2020-07-16,36047,Kings,90,10,1,99,13,2
2020-07-17,36047,Kings,105,16,0,101,13,2
2020-07-18,36047,Kings,58,7,4,99,12,2
2020-07-19,36047,Kings,40,10,3,97,12,2
2020-07-20,36047,Kings,85,9,3,91,11,2
2020-07-21,36047,Kings,79,11,3,87,12,2
2020-07-22,36047,Kings,96,13,1,79,11,2
2020-07-23,36047,Kings,84,10,4,78,11,3
2020-07-24,36047,Kings,68,12,2,73,10,3
2020-07-25,36047,Kings,35,9,2,70,11,3
2020-07-26,36047,Kings,40,7,4,70,10,3
2020-07-27,36047,Kings,79,14,1,69,11,2
2020-07-28,36047,Kings,106,18,1,73,12,2
2020-07-29,36047,Kings,73,11,1,69,12,2
2020-07-30,36047,Kings,98,17,2,71,13,2
2020-07-31,36047,Kings,79,10,1,73,12,2
2020-08-01,36047,Kings,58,15,3,76,13,2
2020-08-02,36047,Kings,41,9,2,76,13,2
2020-08-03,36047,Kings,93,11,0,78,13,1
2020-08-04,36047,Kings,49,14,1,70,12,1
2020-08-05,36047,Kings,90,14,0,73,13,1
2020-08-06,36047,Kings,87,11,2,71,12,1
2020-08-07,36047,Kings,90,9,0,73,12,1
2020-08-08,36047,Kings,58,5,1,73,10,1
2020-08-09,36047,Kings,48,10,0,74,11,1
2020-08-10,36047,Kings,74,13,1,71,11,1
2020-08-11,36047,Kings,82,8,1,76,10,1
2020-08-12,36047,Kings,114,11,0,79,10,1
2020-08-13,36047,Kings,87,14,2,79,10,1
2020-08-14,36047,Kings,80,11,0,78,10,1
2020-08-15,36047,Kings,33,8,1,74,11,1
2020-08-16,36047,Kings,49,5,1,74,10,1
2020-08-17,36047,Kings,96,7,1,77,9,1
2020-08-18,36047,Kings,66,9,0,75,9,1
2020-08-19,36047,Kings,69,14,1,69,10,1
2020-08-20,36047,Kings,56,8,3,64,9,1
2020-08-21,36047,Kings,75,9,0,63,9,1
2020-08-22,36047,Kings,36,7,2,64,8,1
2020-08-23,36047,Kings,55,5,0,65,8,1
2020-08-24,36047,Kings,85,7,1,63,8,1
2020-08-25,36047,Kings,84,14,2,66,9,1
2020-08-26,36047,Kings,116,11,1,72,9,1
2020-08-27,36047,Kings,99,8,0,79,9,1
2020-08-28,36047,Kings,79,9,0,79,9,1
2020-08-29,36047,Kings,38,9,1,79,9,1
2020-08-30,36047,Kings,61,4,1,80,9,1
2020-08-31,36047,Kings,117,13,0,85,10,1
2020-09-01,36047,Kings,91,8,0,86,9,0
2020-09-02,36047,Kings,94,12,2,83,9,1
2020-09-03,36047,Kings,91,9,2,82,9,1
2020-09-04,36047,Kings,71,10,1,80,9,1
2020-09-05,36047,Kings,46,9,3,82,9,1
2020-09-06,36047,Kings,87,14,2,85,11,1
2020-09-07,36047,Kings,74,7,0,79,10,1
2020-09-08,36047,Kings,128,9,1,84,10,2
2020-09-09,36047,Kings,119,11,0,88,10,1
2020-09-10,36047,Kings,124,9,1,93,10,1
