county,new_cases,new_death
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5603.0,57.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6448.0,65.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5557.0,52.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4342.0,75.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5218.0,87.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6840.0,67.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5974.0,75.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5416.0,74.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5662.0,69.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5055.0,52.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4280.0,88.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6485.0,71.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6150.0,99.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6113.0,89.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5431.0,92.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4616.0,85.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3925.0,65.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3807.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2494.0,77.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2999.0,80.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5583.0,98.0
