date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36079,Putnam,330273,798,381,8,5,70,22,70,22,-999999,0,114.0,54.4,-999999.0,-999999.0,10.0,-999999.0,10.0,-999999.0,-999999.0,0.0
2020-07-31,36081,Queens,330055,3264,2924,161,160,525,293,427,225,22,22,466.3,417.7,23.0,22.9,75.0,41.9,61.0,32.1,-999999.0,-999999.0
2020-07-31,36081,Queens,330193,,,461,80,413,136,,,54,18,,,65.9,11.4,59.0,19.4,,,7.7,-999999.0
2020-07-31,36081,Queens,330128,5814,1678,137,31,1456,222,1428,168,39,5,830.6,239.7,19.6,4.4,208.0,31.7,204.0,24.0,5.6,-999999.0
2020-07-31,36081,Queens,330231,3449,1132,57,14,196,156,196,99,6,-999999,492.7,161.7,8.1,-999999.0,28.0,22.3,28.0,14.1,-999999.0,-999999.0
2020-07-31,36081,Queens,330395,,970,131,16,238,75,,75,0,0,,138.6,18.7,-999999.0,34.0,10.7,,10.7,0.0,0.0
2020-07-31,36081,Queens,330014,,,210,85,679,310,644,310,141,29,,,30.0,12.1,97.0,44.3,92.0,44.3,20.1,4.1
2020-07-31,36081,Queens,330195,7408,5549,506,139,1303,684,774,271,22,9,1234.7,924.8,84.3,23.2,217.2,114.0,129.0,45.2,-999999.0,-999999.0
2020-07-31,36083,Rensselaer,330180,1218,1040,87,79,131,96,131,96,14,11,174.0,148.6,12.4,11.3,18.7,13.7,18.7,13.7,-999999.0,-999999.0
2020-07-31,36085,Richmond,330160,3536,2368,199,39,606,321,606,256,23,-999999,589.3,394.7,33.2,6.5,101.0,53.5,101.0,42.7,-999999.0,-999999.0
