date,fips,county,cases,deaths,active,recovered
2020-03-30,36043,Herkimer,12,2,0,0
2020-03-30,36045,Jefferson,11,0,0,0
2020-03-30,36047,Kings,0,0,0,0
2020-03-30,36049,Lewis,0,0,0,0
2020-03-30,36051,Livingston,13,0,0,0
2020-03-30,36053,Madison,42,1,0,0
2020-03-30,36055,Monroe,246,6,0,0
2020-03-30,36057,Montgomery,6,0,0,0
2020-03-30,36059,Nassau,7344,39,0,0
2020-03-30,36063,Niagara,41,0,0,0
2020-03-30,36065,Oneida,34,0,0,0
2020-03-30,36067,Onondaga,228,1,0,0
2020-03-30,36069,Ontario,20,0,0,0
2020-03-30,36071,Orange,1435,5,0,0
2020-03-30,36073,Orleans,4,0,0,0
2020-03-30,36075,Oswego,15,0,0,0
2020-03-30,36077,Otsego,17,1,0,0
2020-03-30,36079,Putnam,167,0,0,0
2020-03-30,36081,Queens,0,0,0,0
2020-03-30,36083,Rensselaer,52,0,0,0
2020-03-30,36085,Richmond,0,0,0,0
2020-03-30,36087,Rockland,2511,8,0,0
2020-03-30,36091,Saratoga,108,1,0,0
2020-03-30,36093,Schenectady,80,1,0,0
2020-03-30,36095,Schoharie,6,0,0,0
2020-03-30,36097,Schuyler,2,0,0,0
2020-03-30,36099,Seneca,0,0,0,0
2020-03-30,36101,Steuben,19,0,0,0
2020-03-30,36103,Suffolk,5791,40,0,0
2020-03-30,36105,Sullivan,101,0,0,0
2020-03-30,36107,Tioga,7,0,0,0
2020-03-30,36109,Tompkins,70,0,0,0
2020-03-30,36111,Ulster,190,0,0,0
2020-03-30,36113,Warren,18,0,0,0
2020-03-30,36115,Washington,9,0,0,0
2020-03-30,36117,Wayne,15,0,0,0
2020-03-30,36119,Westchester,9326,10,0,0
2020-03-30,36121,Wyoming,8,1,0,0
2020-03-30,36123,Yates,0,0,0,0
2020-03-30,36061,New York,0,0,0,0
2020-03-30,99999,New York City,37453,790,0,0
2020-03-30,36089,St. Lawrence,13,0,0,0
2020-03-30,90036,Unassigned,0,298,0,0
2020-03-31,36001,Albany,226,1,0,0
2020-03-31,36003,Allegany,9,1,0,0
2020-03-31,36005,Bronx,0,0,0,0
2020-03-31,36007,Broome,38,3,0,0
2020-03-31,36009,Cattaraugus,6,0,0,0
2020-03-31,36011,Cayuga,4,0,0,0
2020-03-31,36013,Chautauqua,7,0,0,0
2020-03-31,36015,Chemung,20,0,0,0
2020-03-31,36017,Chenango,19,0,0,0
2020-03-31,36019,Clinton,21,0,0,0
2020-03-31,36021,Columbia,36,1,0,0
2020-03-31,36023,Cortland,10,0,0,0
2020-03-31,36025,Delaware,16,0,0,0
2020-03-31,36027,Dutchess,484,3,0,0
2020-03-31,36029,Erie,499,8,0,0
2020-03-31,36031,Essex,5,0,0,0
2020-03-31,36033,Franklin,6,0,0,0
2020-03-31,36035,Fulton,1,0,0,0
2020-03-31,36037,Genesee,11,1,0,0
2020-03-31,36039,Greene,10,0,0,0
2020-03-31,36041,Hamilton,2,0,0,0
